url,title,price,lat,lon,Балкон,Балкон остеклён,Безопасность,Бывшее общежитие,Возможен обмен,Высота потолков,Год постройки,Город,Дверь,Жилой комплекс,Интернет,Квартира меблирована,Парковка,Площадь,Пол,Санузел,Состояние квартиры,Телефон,Тип дома,Этаж
https://krisha.kz/a/show/1012947223,"1-комнатная квартира · 51 м² · 4/11 этаж, Розы Багланова 1",28805000,51.117177,71.394676,,,,нет,Нет,,2022,"Астана, Нура р-н",,,,,,51 м²,,,свежий ремонт,,кирпичный,4 из 11
https://krisha.kz/a/show/1012546970,"1-комнатная квартира · 35 м² · 10/10 этаж, А.Токпанова 8/6",29500000,51.13814863675,71.461627619324,балкон,да,"домофон, видеонаблюдение",нет,Нет,3 м,2022,"Астана, Алматы р-н",металлическая,Umai,,частично,,35 м²,ламинат,совмещенный,свежий ремонт,,кирпичный,10 из 10
https://krisha.kz/a/show/1012947051,"2-комнатная квартира · 38 м² · 10/11 этаж, Шоссе Коргалжын 37",20990000,51.148795387127,71.358189092753,лоджия,да,"домофон, кодовый замок, сигнализация, видеонаблюдение",нет,Нет,2.8 м,2021,"Астана, Нура р-н",металлическая,Тан,,полностью,паркинг,38 м²,ламинат,совмещенный,свежий ремонт,есть возможность подключения,кирпичный,10 из 11
https://krisha.kz/a/show/1012947157,"3-комнатная квартира · 68.1 м² · 12/12 этаж, Туран",43500000,51.114020940984,71.393085762118,балкон,да,"домофон, кодовый замок",нет,Нет,2.7 м,2021,"Астана, Есильский р-н",металлическая,Sezim Qala.Baqyt,,полностью,паркинг,"68.1 м², Площадь кухни — 6 м²",ламинат,2 с/у и более,свежий ремонт,есть возможность подключения,иной,12 из 12
https://krisha.kz/a/show/1007669466,"6-комнатная квартира · 285 м² · 8/8 этаж, Баглан 5",515000000,51.147045675064,71.446737175722,,,,нет,Нет,3.6 м,2022,"Астана, Алматы р-н",,Da Vinci,,,паркинг,285 м²,,,,,монолитный,8 из 8
https://krisha.kz/a/show/1012547864,"2-комнатная квартира · 76.2 м² · 15/18 этаж, Кошкарбаева 1 — Момышулы",70000000,51.129258135817,71.463185923378,балкон,,"охрана, домофон, кодовый замок, сигнализация, видеонаблюдение",нет,Нет,3.15 м,2025,"Астана, Алматы р-н",бронированная,La Vie,через TV кабель,,паркинг,"76.2 м², Площадь кухни — 13.4 м²",,2 с/у и более,черновая отделка,нет,монолитный,15 из 18
https://krisha.kz/a/show/1011107188,"5-комнатная квартира · 147 м² · 9/10 этаж, Жошы хан",150000000,51.098059978016,71.436572111232,несколько балконов или лоджий,,"домофон, кодовый замок, видеонаблюдение, видеодомофон",нет,Да,3 м,2005,"Астана, Есильский р-н",бронированная,Amal',оптика,полностью,паркинг,"147 м², Площадь кухни — 18 м²",паркет,2 с/у и более,свежий ремонт,,монолитный,9 из 10
https://krisha.kz/a/show/1008213106,"1-комнатная квартира · 37.2 м² · 3/12 этаж, Айтматова 79",27500000,51.167849633124,71.374232768985,балкон,да,"домофон, кодовый замок, видеонаблюдение, видеодомофон",нет,Нет,3 м,2026,"Астана, Нура р-н",металлическая,Alakol,,,,37.2 м²,ламинат,раздельный,,,монолитный,3 из 12
https://krisha.kz/a/show/1012935170,"3-комнатная квартира · 68 м² · 10/12 этаж, Тауелсиздик 38/4 — Б. Момышулы",53000000,51.135323,71.468581,,,,,Нет,3 м,2025,"Астана, Алматы р-н",,Argymaq,,полностью,паркинг,68 м²,,раздельный,свежий ремонт,,монолитный,10 из 12
https://krisha.kz/a/show/1012531453,"4-комнатная квартира · 105 м² · 9/12 этаж, Сыганак 13",65000000,51.130518936925,71.38139446843,лоджия,,"охрана, кодовый замок, видеонаблюдение",нет,Нет,2.75 м,2022,"Астана, Есильский р-н",бронированная,MIAMI,,частично,паркинг,105 м²,ламинат,2 с/у и более,,,монолитный,9 из 12
https://krisha.kz/a/show/1011550279,"4-комнатная квартира · 127 м² · 3/12 этаж, Мангилик Ел — Триумфальная Арка",119000000,51.096549842613,71.424636191901,лоджия,,"домофон, видеонаблюдение",нет,Нет,3 м,2019,"Астана, Есильский р-н",металлическая,Dream City,,полностью,паркинг,127 м²,ламинат,2 с/у и более,,,монолитный,3 из 12
